Product_name,Quantity,Category,Subcategory,Subcategory2,Subcategory3,
Dasani Purified Water 16.9 FL OZ (1.06 PT) 500 mL,17642,Beverage,Water,,All,
Dasani - 20 oz,13129,Beverage,Water,,All,
12 oz. Coffee/Tea,8445,Beverage,Coffee/Tea,,All,
Pure Life Purified Water (16.9 fl. Oz),7478,Beverage,Water,,All,
Smart Water 23.7 fl oz,6746,Beverage,Water,,All,
16 oz. Coffee/Tea,4075,Beverage,Coffee/Tea,,All,
Quesadillas - Chicken,3871,Food,Quesadilla,Chicken,Lunch/Dinner,
Chicken Fingers and Fries,3580,Food,,Chicken,,
Diet Coke 16.9oz.,3393,Beverage,Coke,Healthy,All,
Pure Life Purified Water 16.9oz,3233,Beverage,Water,,All,
Coke,3079,Beverage,Coke,,All,
Glaceau Smart Water 1L,2668,Beverage,Water,,All,
Fiji Natural Artesian Water 500 ml/16.9oz,2662,Beverage,Water,,All,
Lunch Special,2209,Food,Meal,Special,Lunch,
Diet Coke,2177,Beverage,Coke,Healthy,All,
water,1992,Beverage,Water,,All,
Egg Salad Bagel,1989,Food,Salad,Egg,Breakfast,
Jedediah’s Turkey Swiss on Wheat,1950,Food,Sandwich,Turkey,Lunch,
Hamburger,1810,Food,Burger,Beef,Lunch/Dinner,
Quesadillas - SW,1516,Food,Quesadilla,,Lunch/Dinner,
s,1506,,,,,
Breakfast Burrito,1461,Food,Burrito,Egg/Meat,Breakfast,
BBQ Pulled Pork,1351,Food,Sandwich,Pork,Lunch/Dinner,
Coke (16.9 fl. Oz),1255,Beverage,Coke,,All,
Grilled Chicken Sandwich,1209,Food,Sandwich,Chicken,All,
Uncrustable - Peanut Butter and Grape,1200,Food,Snack,,All,
Pure Leaf Sweet Tea 16.9oz.,1198,Beverage,Tea,,All,
Latte 12oz - HOT,1108,Beverage,Coffee,,Breakfast,
Philly Cheesestake,1092,Food,Sandwich,Beef,Lunch/Dinner,
BBQ Brisket Sandwich,1081,Food,Sandwich,Beef,Lunch/Dinner,
Bagel Breakfast Sandwich,1078,Food,Sandwich,Egg,Breakfast,
Southwest Chicken Salad,1073,Food,Salad,Chicken,Lunch/Dinner,
Sausage Biscuit Sandwich,1068,Food,Sandwich,Pork,Breakfast,
Pure Leaf UnSweet Tea 16.9oz.,1063,Beverage,Tea,,All,
a,1048,,,,,
Snyders of Hanover Mini Pretzels 1.5oz.,983,Food,Snack,,All,
Uncrustable - Peanut Butter and Strawberry,957,Food,Snack,,All,
MilkyWay Candy Bar 1.84oz.,949,Food,Snack,Candy,All,
Lays Classic Potato Chip,915,Food,Snack,Chips,All,
French Fries,897,Food,Side,,Lunch/Dinner,
Diet Dr. Pepper,869,Beverage,Soda,Healthy,All,
chips,868,Food,Snack,Chips,All,
Turkey Cranberry Wrap,862,Food,Wrap,Turkey,Lunch,
Parfait,862,Food,Snack,,Breakfast,
vitaminwater XXX Acai-Blueberry-Pomegranate,834,Beverage,Flavored Water,,All,
Miss Vickies Sea Salt & Vinegar Chips,832,Food,Snack,Chips,All,
Reeses 2 Peanut Butter Cups 1.5oz,827,Food,Snack,Candy,All,
muffin,820,Food,Snack,,Breakfast,
Sm Sticker,776,Home Decor,Sticker,,,
Miss Vickies Jalapeno Chips 1.375oz.,762,Food,Snack,Chips,All,
Breakfast Special,759,Food,Meal,Special,Breakfast,
Dasani Purified Water 16.9 FL OZ (1.06 PT) 500 mL,749,Beverage,Water,,All,
w,740,,,,,
Quesadilla - Black Bean & Corn,739,Food,Quesadilla,,Lunch/Dinner,
sticker,733,Home Decor,Sticker,,,
Latte 16oz - HOT,728,Beverage,Coffee,,Breakfast,
Darigold Chocolate Milk,721,Beverage,Milk,,All,
Simply Orange Juice,720,Beverage,Juice,,Breakfast,
Dr Pepper (16.9 fl. Oz),702,Beverage,Soda,,All,
Babybel,694,Food,Dairy,Cheese,All,
Miss Vickies Smokehouse BBQ,694,Food,Snack,Chips,All,
Sun Chips Harvest Cheddar,693,Food,Snack,Chips,All,
Miss Vickies Sea Salt Original,692,Food,Snack,Chips,All,
Doritos Nacho Cheese,691,Food,Snack,Chips,All,
Smuckers Uncrustables - Peanut Butter & Grape Jel,684,Food,Snack,,All,
Coca-Cola 16.9oz,681,Beverage,Coke,,All,
Club Sandwich on a Stick,670,Food,Sandwich,,Lunch,
Sprite,662,Beverage,Soft Drink,,All,
Veggie Tray,660,Food,Salad,,All,
Smuckers Uncrustables - Peanut Butter & Strawberr,658,Food,Snack,,All,
Simply Orange Juice 100% Pulp Free 11.5 oz.,656,Beverage,Juice,,All,
M&Ms Milk Chocolate,649,Food,Snack,Chocolate,All,
Power C7 -Vitamin Water,646,Beverage,Vitamin Water,,All,
Easy Eggs- 2 Pack Hard Boil Eggs 3.1oz.,637,Food,Snack,Egg,Breakfast,
Roseli String Cheese,623,Food,Dairy,Cheese,All,
Doritos Cool Ranch Chips 1.75oz.,617,Food,Snack,Chips,All,
Fruit Cup,617,Food,Fruit,,All,
M&Ms Peanut,614,Food,Snack,Candy,All,
Cappuccino 12oz - HOT,608,Beverage,Coffee,,Breakfast,
Dr. Pepper,603,Beverage,Soft Drink,,All,
Mediterranean Quinoa Salad,595,Food,Salad,,Lunch/Dinner,
Chicken Caesar Salad,581,Food,Salad,Chicken,Lunch/Dinner,
Flavored Latte 12oz - Hot,580,Beverage,Coffee,,Breakfast,
Jackson Hole Wild Huckleberry Jam 5OZ (142g),573,Food,Condiment,Jam,All,
Snyders Mini Pretzels,569,Food,Snack,,All,
Skittles,568,Food,Snack,Candy,All,
Red Bull 8.4oz,557,Beverage,Energy Drink,,All,
Frigo Cheese Heads String Cheese 1oz.,557,Food,Dairy,Cheese,All,
Sourdough Chocol,546,Food,Snack,Chocolate,All,
Sticker Large,544,Home Decor,Sticker,,All,
Chex Mix Traditional Savory Snack Mix,543,Food,Snack,,All,
Chobani Greek Yogurt - Strawberry,537,Food,Yogurt,,All,
Jedediahs Turkey on Ciabatta,535,Food,Sandwich,Turkey,Lunch,
candy,530,Food,Snack,Candy,All,
coke,520,Beverage,Coke,,All,
Sabra Hummus & Pretzel - Red Pepper,518,Food,Snack,,All,
Mediterranean Platter,513,Food,Salad,,Lunch,
Flavored Latte 16oz - Hot,513,Beverage,Coffee,,Breakfast,
Turkey and Smoked Gouda with Apple Butter Mustard,509,Food,Sandwich,Turkey,Lunch,
Chobani Greek Yogurt - Peach,505,Food,Yogurt,,All,
Cowboy Caviar & Chips,499,Food,Snack,Chips & Dip,All,
Jackson Hole Cowboy Huckleberry Chocolate Bar,499,Food,Snack,Chocolate,All,
Kates Peanut Butter Dark Chocolate,498,Food,Snack,Chocolate,All,
d,495,,,,,
c,488,,,,,
Dr. Pepper 16.9oz.,485,Beverage,Soda,,All,
Jedediah Parfait,478,Food,,,Breakfast,
Monster Cookies,471,Food,Snack,Cookie,All,
Coke Zero Sugar,471,Food,Coke,Healthy,All,
Jedediahs - Parfait,465,Food,,,Breakfast,
Sabra - Hummus/Pretzel Classic 4.56 oz.,462,Food,Snack,,All,
Sabra - Hummus/Pretzel Red Pepper 4.56 oz.,461,Food,Snack,,All,
Dasani,460,Beverage,Water,,All,
Jackson Hole Wild Huckleberry Jam 8OZ (226g),457,Food,Condiment,Jam,All,
Cheez-it White Cheddar Snack Pack 1.5oz,456,Food,Snack,Crackers,All,
Kind Bar Dark Chocolate Nuts & Sea Salt,455,Food,Snack,Chocolate,All,
12 oz. Coffee\Tea,455,Beverage,Coffee/Tea,,Breakfast,
Keebler Crackers - Cheese & Peanut Butter,455,Food,Snack,Crackers,All,
Powerade - Fruit Punch,449,Beverage,Sports Drink,,All,
Snickers Bar,446,Food,Snack,Candy,All,
vitamin water energy tropical citrus,437,Beverage,Vitamin Water,,All,
Avocado Toast,431,Food,Snack,Toast,Breakfast,
Nature Valley Chewy Trail Mix Fruit & Nut Granola,429,Food,Snack,Bar,All,
TGT Magnet,427,Home Decor,Magnet,,All,
Cliff Bar - Crunchy Peanut Butter 2.4oz.,417,Food,Snack,Bar,All,
Ruffles Cheddar & Sour Cream 1.5oz.,417,Food,Snack,Chips,All,
Kates Peanut Butter Milk Chocolate,413,Food,Snack,Chocolate,All,
Dots Homestyle Pretzels,411,Food,Snack,Pretzels,All,
Darigold 2% Milk,410,Beverage,Milk,,All,
Jackson Hole Wild Huckleberry Taffy,407,Food,Snack,Candy,All,
Hersheys Milk Chocolate w/ Almonds,405,Food,Snack,Chocolate,All,
Keebler Crackers - Club & Cheddar,405,Food,Snack,Crackers,All,
Pringles Original 1.3oz,403,Food,Snack,Chips,All,
e,403,,,,,
